"paragraph","label"
"坐骑【千秋星蜃】【光阴倏影】【亘古雷音】限时返场通宝商城。","商城更新"
"活动时间：2025年1月23日6时~2月6日6时","商城更新"
">>岁首红包返场","商城更新"
"召唤财神爷为亲友送财运红包雨","商城更新"
"【岁首红包·月月发】限时返场通宝商城。","商城更新"
"活动时间：2025年1月23日6时~2月6日6时","商城更新"
">>烟花全线折扣","商城更新"
"通宝商城在售烟花全线享折扣！","商城更新"
"活动时间：2025年1月23日6时~2月6日6时","商城更新"
"☆活动更新","活动更新"
"春节系列活动开启","活动更新"
">>新春送喜","活动更新"
"时逢佳节，万象更新，不妨趁此机会探亲访友，为他们献上最真挚的祝福！据茶小乖透露：好多人早就准备好了新年红包，小哥哥 、小姐姐们此时登门拜年，必有好礼相赠！","活动更新"
">>冰雪盛会","活动更新"
"地图【皑皑幻谷】活动期间内限时开放.","活动更新"
"趋近年关，秦陵之盟正在准备冰雪节，无独有偶，龙星领域的小龙人们也正在紧锣密鼓地准备欢度即将到来的新年，正在大家忙得热火朝天的时候，一股神秘的力量扭曲了时空，把双方卷入了一处未知之境……","活动更新"
">>天降宝箱","活动更新"
"辞旧迎新之际，龙星商会的小龙人们也开始了一年一度的库存清点，然而就在一箱箱宝物被运往新仓库的过程中，其中一些竟不翼而飞了……这些宝箱不知去了哪里，但根据小龙人得到的最新情报，每隔一段时间，都会有一批宝箱落在世界某处，待人拾取。","通用调整"
">>宝兆丰年","活动更新"
"春节临近，嗅宝罗盘似乎也蠢蠢欲动起来，莫非在这片熟悉的大地上，又出现了什么不得了的宝贝？赶紧去龙星阵上解封藏宝图，发掘隐藏在其中的浓浓“年味”吧。","活动更新"
"维护期间给您带来的不便，敬请谅解！","署名/结尾"
"祝大家游戏愉快！","署名/结尾"
"《古剑奇谭网络版》项目组","署名/结尾"
"2025年1月22日","署名/结尾"
"各位仙家弟子：《古剑奇谭网络版》将于2025年1月16日05:30进行例行停机维护。“共华年”大区全服预计10:00开启。在维护期间，您将无法登录游戏。如果在预定时间内无法完成维护内容，开服时间也将继续顺延。","开头"
"本次例行维护，无更新内容。","无更新"
"维护期间给您带来的不便，敬请谅解！","署名/结尾"
"祝大家游戏愉快！","署名/结尾"
"《古剑奇谭网络版》项目组","署名/结尾"
"2025年1月15日","署名/结尾"
"各位仙家弟子：《古剑奇谭网络版》将于2025年1月9日05:30进行例行停机维护。“共华年”大区全服预计10:00开启。在维护期间，您将无法登录游戏。如果在预定时间内无法完成维护内容，开服时间也将继续顺延。","开头"
"本次例行维护，无更新内容。","无更新"
"维护期间给您带来的不便，敬请谅解！","署名/结尾"
"祝大家游戏愉快！","署名/结尾"
"《古剑奇谭网络版》项目组","署名/结尾"
"2025年1月8日","署名/结尾"
"各位仙家弟子：《古剑奇谭网络版》将于2025年1月2日05:30进行例行停机维护。“共华年”大区全服预计10:00开启。在维护期间，您将无法登录游戏。如果在预定时间内无法完成维护内容，开服时间也将继续顺延。","开头"
"本次例行维护，无更新内容。","无更新"
"维护期间给您带来的不便，敬请谅解！","署名/结尾"
"祝大家游戏愉快！","署名/结尾"
"《古剑奇谭网络版》项目组","署名/结尾"
"2025年1月1日","署名/结尾"
"各位仙家弟子：《古剑奇谭网络版》将于2024年12月26日05:30进行例行停机维护。“共华年”大区全服预计10:00开启。在维护期间，您将无法登录游戏。如果在预定时间内无法完成维护内容，开服时间也将继续顺延。","开头"
"本次例行维护，更新内容如下：","无更新"
"☆商城更新","商城更新"
">>同贺元旦，【心意红包·月月发】限时返场","商城更新"
"【心意红包·月月发】限时返场通宝商城，快召唤小财神为亲友送上满满心意吧！（注意：只有自己和队友可以领取红包哦！）","商城更新"
"返场时间：2024年12月26日6时~2025年1月9日6时。","商城更新"
"☆通用更新","通用调整"
"冬至活动商店修复异常，正常上架全新奖励-【表情动作·微醺】。","通用调整"
"维护期间给您带来的不便，敬请谅解！","署名/结尾"
"祝大家游戏愉快！","署名/结尾"
"《古剑奇谭网络版》项目组","署名/结尾"
"2024年12月25日","署名/结尾"
