"paragraph","label"
"“共华年”大区全服预计10:00开启。在维护期间，您将无法登录游戏。如果在预定时间内无法完成维护内容，开服时间也将继续顺延。","格式"
"通宝商城上架坐骑【迎冬·祥祥】【迎冬·欢欢】，购买即赠熊猫照影与名帖。","商城"
"冬至活动","PVX"
"活动时间：2021.12.16~2022.1.6","PVX"
"【幻雪之境】","PVX"
"艾汐梨有一位可爱的朋友，但它没手和脚，还不会说话，一个人孤零零的，希望有人能陪伴它，前往步云洲挂剑台找艾汐梨（-225，3）接取任务。","PVX"
"【冬至快乐】","PVX"
"客旅长安的胡人赫皮纽耶打算邀请同在长安的族人及有兴趣的朋友前往胡人区，一起共度节日，而同在胡人区的马力库斯莫斯近来也很是忙碌，似乎是在准备迎接什么节日，不妨找个时间去那边转转。","PVX"
"【清雪祛浊】","PVX"
"苍骨退去，重归平静的步云洲降下了今冬的第一场雪。初雪携带的寒清之气对浊气有一定的压制之效，秦陵之盟顺势在千叶莲台分立众宗门的雪人化形，借寒清之气祛除浊气。凡秦陵弟子，均可参与其中，不断壮大本门雪人化形。","PVX"
"【戏雪怡情】","PVX"
"在步云洲节日活动商【何思诺】处购买两个节日道具【衍雪精】，将其赠予出现在长安或江都的门派特殊雪人，可获得增加福缘的增益效果【冬日暖意】。对单个雪人累计送礼满3次，可获得该雪人对应变身藏品。使用藏品后，玩家即可变为对应的雪人。此外，拥有该藏品的玩家还可在参加活动【步云雪境】、【怀秀村·幻雪】、【真实之境·幻雪】时幻化成相应的雪人模样。","PVX"
"☆职业调整","职业调整"
"概述：本次对各职业部分技能问题进行了修复，并对部分技能效果进行了优化和调整。12月23日更新将会基于各职业专精在秘境和竞技场中的战斗表现对技能效果和数值进行平衡性调整。","职业调整"
"通用调整","职业调整"
"修复在施法距离范围内因高度差过大导致无法攻击选中目标的问题","职业调整"
"适当降低了输出专精的帝剑特技所造成的仇恨效果","职业调整"
"修复职业铃客组队增益效果未生效的问题","职业调整"
"斩风","职业调整"
"弹铗九问","职业调整"
"修复了云无踪描述不正确的问题","职业调整"
"酩酊诀","职业调整"
"修复星韵特技【燕化影】在场上仍有“白虹化影”时，额外生命值加成不正确的问题","职业调整"
"妙法","职业调整"
"三十六章","职业调整"
"修复释放【木佛渡火】时有概率移除“焦尾流泉”的问题","职业调整"
"洞渊书","职业调整"
"修复“青蘋引风”未正确触发的问题","职业调整"
"咒隐","职业调整"
"窈冥蛊咒","职业调整"
"修复幽冥生灭·永隔伤害生效范围有时不正确的问题","职业调整"
"圣佑血祭","职业调整"
"圣佑血祭：修复星蕴特技【身寄三途】蛊雾扩散异常的问题","职业调整"
"珑瑛·灵瑛","职业调整"
"灵玉金刀","职业调整"
"修复【阵列三奇】无法清除【虚室无尘】冷却时间","职业调整"
"异芳","职业调整"
"通用","职业调整"
"不符合收服规则的目标将不再可收入【幻形剪纸】，同时【幻形剪纸】内若已收入不符合收服规则的目标将重置为绑定状态","职业调整"
"铃客","职业调整"
"素脉真藏","职业调整"
"概述：对【当归寄野】的释放关注度及治疗的有效性进行调整，并对【王孙无苦】和【送香蒲】的治疗定位进行明确区分","职业调整"
"【五味徐来】技能选中友方目标时可施展【五味徐来·助】，使友方下次攻击敌对目标时为目标施加“五味徐来”效果。","职业调整"
"【辛夷皆芳】的特效现在不会被屏蔽。","职业调整"
"提高【素脉续断】、【苋陆无咎】、【五味徐来】的优先级。","职业调整"
"修复【祈生颂·繁枝】连续释放生效次数不对的问题。","职业调整"
"【缀林兰】调整招式释放所需时间，增加保护防止连续按键误触。","职业调整"
"【黄公怜青】在非“木木祈生颂”状态期间也可为【祈生颂·繁枝】充能。","职业调整"
"【当归寄野】现在可以充能2层，招式效果修改为战斗状态时自身造成的治愈之力（有效治疗、护盾）按照25%比例收集，达成一定比例后将为招式充能1层，施放招式将存储的治愈之力释放出来，对自身25米范围内的友方目标进行治疗（*若范围内有生命值未满的友方，则只对生命值未满的友方进行分摊治疗）。","职业调整"
"【采金沸】基础治疗人数提高至6人，每段蓄力选择的目标人数提高至6人，蓄力最大段数降低至2段。","职业调整"
"星蕴特技【金雪飘蓬】效果调整为采金沸蓄力速度提高50%，不再降低蓄力段数和提高每段目标选择人数。","职业调整"
"【王孙无苦】改为引导技能，现在会随着急速而影响招式的施法时间与治疗效果的触发间隔。主目标基础治疗效果降低50%，法力消耗降低至130点。额外增加效果对友方目标进行治疗时额外对此目标25米范围内生命最低的2名友方进行治疗。","职业调整"
"【送香蒲】法力消耗提高至80点，基础治疗效果提高41.6%","职业调整"
"【缀林兰】造成的效果“兰自香”对【送香蒲】的治疗效果额外加成调整至80%","职业调整"
"星蕴特技【风旋复】优化描述。","职业调整"
"适当优化【送香蒲】、【王孙无苦】、【缀林兰】技能音效。","职业调整"
"修复【化青羽】、【小廉戏云】没有音效的问题。","职业调整"
"☆斗法调整","PVP"
"铭锋论剑","PVP"
"铭锋论剑赛季开启进行铭锋论剑可提升匹配分、进行战旅铭锋论剑可提升战旅分，同时仙家弟子已获得的【铭锋论剑头衔】将根据多个专精匹配分的最高分自动变化，头衔的形态可以在【斗法-铭锋-赛季界面】预览。","PVP"
"1、铭锋论剑修改为，不同专精拥有单独的匹配分，在匹配时按照所选专精匹配分进行匹配。在进入匹配时需要选择您将用于匹配的专精，同时可以查看不同专精的胜率和专精战阶榜排名。","PVP"
"2、添加按照问道玩家专精匹配分进行排名的问道专精榜。掉出凌虚问道者将从榜上移除。","PVP"
"3、根据匹配分数变化的可升级头衔和铭锋剑绩周上限和胜利加成、以及战旅中匹配和显示的个人战阶分，按照当前角色的多个专精匹配分的最高值计算。","PVP"
"4、排名奖励修改为：斗法单专精职业（天罡、斩风、珑君、灵瑛、朝弦）为问道专精榜前12，斗法双专精职业为本职业两个问道专精榜的前6，战旅榜前6成员可获高级动态头衔；战旅榜前30可获动作奖励；问道专精榜所有人可获普通动态头衔。","PVP"
"其他","PVP"
"增加战盟资金、所有成员可直接充值，修复斗法装备时可使用战盟资金，会长可以在权限管理中调整成员使用的战盟资金上限。战盟强制敌对消耗金钱改为消耗战盟资金。","PVP"
"开放燃锋夺阵，拍卖物品中添加阵营挂饰【玄朔噬夜铠】（天玄教）、【银锋镇邪铠】（神一道天），武器和信物【斗胜】系列道具替换为【制胜】系列道具，可强化480的斗法装备至最高8级。","PVP"
"开放战盟活动诛邪定楚洲，拍卖的【斗胜】系列道具替换为【制胜】系列道具，可强化480的斗法装备至最高8级。接引人玉杨、领赏人薛峻将会出现在【步云洲·战乱】的瑶天殿右侧。","PVP"
"因技术原因，战盟活动【玉轮星阵】将延后开放。","PVP"
"☆秘境调整","PVE"
"普通难度【天录馆】移除【日轮璜】、【月弦璜】掉落。","PVE"
"1.调整了天录馆秘境首领【杨用闲】和【凶剑煌灭】的顺序。","PVE"
"2.调整了天录馆秘境中“天书境”中的天气。","PVE"
"“玉轮铃音”版本秘境难度解锁：","PVE"
"四海天狱【普通】难度将在12月16日开服后开启，天录馆，四海天狱【困难】难度将在12月16日中午12时开启。","PVE"
"☆通用调整","格式"
"玉轮仙藏场景中没有掉落奖励的怪物生命值将显示为灰色，该部分怪物将同时不会增加龙星路域通【野外讨伐】认知度目标的计数；有掉落奖励的怪物将在血条左边显示小锦囊图标。","通用调整"
"修复龙星路域通部分认知度目标记录异常的问题：包括【琼实园·仙府收获·周常】、【青泠玉山·野外挑战】、【青泠玉山·玉轮任侠·初】。","通用调整"
"修复任务“初识万事阁”交付后未获得【衔云令】，以及后续引导异常的问题。","通用调整"
"玉轮铃音·签到活动中，第拾壹天与第拾贰天的奖励分别修正为浮青珏·暖华*16、旧悟叩心石*1。","通用调整"
"修复主题节任务中完成普通难度小型秘境未增加进度的问题。","通用调整"
"优化装备提升中红点提升的问题，现在会正确指示装备的可提升选项。","通用调整"
"修复衣柜图鉴【世逸仙踪】不正确地发放【称号·瀚海千尘】的问题，已领取不正确称号的仙家弟子请留意邮箱内的补偿邮件。","通用调整"
"修复铭锋论剑战阶头衔未被正常重置为【通惠入微】的问题。","通用调整"
"修复斗法引导中，之前赛季已完成【加入阵营】引导的玩家无法完成【加入阵营】的问题，之前赛季已完成【斗法装备·全身】引导的玩家无法完成【斗法装备·全身】的问题；修复跳过引导后无法正常进入斗法玩法的问题。","通用调整"
"修复【破敌·随机】无法拾取的问题，本周已获取的【破敌·随机】将之后进行补偿。","通用调整"
"修复装备修理会导致斗法装备符咒和镶嵌丢失的问题。","通用调整"
"修复玉轮仙藏的区域任务中缺少地星铢·启阴*188的问题，已完成并缺少奖励的部分在12月16日6点前可获得补偿。","通用调整"
"现在组队时不再会默认打开同步任务状态，并且优化了同步任务在队伍面板中的状态图标和说明信息。","通用调整"
"修复经纬洞明可以探查到流琼秘屑的问题。","通用调整"
"修复秘椟成就：不可再生品、视线以内一个不留、国本初具统计不正确的问题。","通用调整"
"优化玉轮仙藏场景中龙星阵传送相关教学的逻辑。","通用调整"
"修复藏宝图寻宝完成后仍然不正确地累计“万宝归藏”任务进度的问题；相关榜单不受影响，照常统计。","通用调整"
"新增大地图中区域声望中不可再生秘椟开启数量的显示。","通用调整"
"修复了斗法世界首领不刷新日期的复活倒计时显示错误的问题。","通用调整"
"优化了过场动画“步云灾变·云洲惨变”的播放表现。","通用调整"
"修复三世书NPC邀请至仙府次数刷新异常问题。","通用调整"
"修复不能与邀请至仙府的风清洛进行千秋戏的问题。","通用调整"
"仙府更新：","PVX"
"仙府·福地开放水池建造功能","PVX"
"调整枕剑仙乡·卧云仙府及仙府·福地日常任务奖励","通用调整"
"聊天频道仙府传送链接增加二次弹框确认","通用调整"
"记忆之匣：","PVX"
"1、记忆之匣场景中无法切换专精，无法进行装备升级操作。","PVX"
"2、记忆之匣怪物难度会根据输出专精、治疗专精、防御专精的历史最高历世装等动态匹配，并依次根据怪物难度和通关时间录入排行榜。","PVX"
"3、记忆之匣可手动补人，补人成功完成秘境不计入排行榜（场景中人数小于十人且队伍中人数小于十人时可开启补人）","PVX"
"其他调整：","通用调整"
"天录馆的失神仙侍需完成天录馆相关主线才可看见。","通用调整"
"限时挑战中不可使用助战使。","通用调整"
"现在在阵营模式中不可携带助战使了。","通用调整"
"修复铃客职业玩家在疾跑状态空中变身翡翠廉，动画播放不正确的问题。","通用调整"
"优化了【聚气丹田】状态时（即可以使用开天一画的状态）的镜头变化体验。","通用调整"
"优化了玉鸣洲区域裂玉争鸣活动玉鸣镇石晶主卡住不动的问题。","通用调整"
"优化了阵营龙星阵的位置。","通用调整"
"调整了一些表现问题。","通用调整"
"未拾取的玉剑息现在会被邮寄到玩家的邮箱。","通用调整"
"好友福地增加未开启不可传送的限制。","通用调整"
"☆任务调整","通用调整"
"修复了部分列传任务中伤害数值不正确的问题。","通用调整"
"☆数值调整","通用调整"
"济云万法商店上架【天衣·次芳丛】外观头饰和外观护腕。外观上装和外观下装将于之后上架。上架【乐曲·获罪于天】、【乐曲·天书录名】。","通用调整"
"斗法玩法内的世界首领难度等级修正为480 。","通用调整"
"部分适用于合道1层的往期版本食物现在将只提供少量属性增益。","通用调整"
"修复了部分野外精英和首领的掉落物，数值，免控等级不正确的问题。","通用调整"
"☆玩法调整","通用调整"
"血露薇悬赏·玉轮仙藏","通用调整"
"随着对于「玉轮仙藏」探索的深入，「玉轮仙藏·赤羽」中将遭遇到新的首领敌人：严药童子、拔山鼠力士。修复「血露薇悬赏·玉轮仙藏」无法进行组队匹配的问题。当全队玩家均已完成“天录馆”、“青泠玉山”相关历程任务线后即可参与匹配。","通用调整"
"☆界面调整","通用调整"
"修复匹配确认界面有时无法正确展示玩家头像及个人信息的问题。","通用调整"
"助战使及助战使装备，已激活时在商店中变为灰色并置于最后一页（重新打开商店刷新）。","通用调整"
"修复在某些情况下鼠标悬停于场景地图的部分图标时，会显示侠义任务信息提示的问题。","通用调整"
"请各位仙家弟子互相转告，合理安排游戏时间，提前做好下线准备，维护期间给您带来的不便，敬请谅解。祝大家游戏愉快！","格式"
"《古剑奇谭网络版》项目组2021年12月15日","格式"
"《古剑奇谭网络版》将于2025年2月6日5:30进行例行停机维护。","格式"
"“共华年”大区全服预计10:00开启。","格式"
"在维护期间，您将无法登录游戏。如果在预定时间内无法完成维护内容，开服时间也将继续顺延。","格式"
"本次维护，更新内容如下：","格式"
">>“元宵礼包”【礼包·繁焰灯宵】限时上架通宝商城","商城"
"限时上架时间：2025年2月6日6时~2月13日6时","商城"
"【礼包·繁焰灯宵】包含：挂饰【汤泉·暖暖灯宵】*1、【烟花繁霁匣】*1、【烟花·鱼龙跃金涛】*1，另有赠品-【彤福袋】*1。","商城"
"↑↑↑挂饰【汤泉·暖暖灯宵】↑↑↑","商城"
"↑↑↑汤泉效果↑↑↑","商城"
"礼包相关说明：","商城"
"*  单账号仅可为自己购买一次【礼包·繁焰灯宵】。","商城"
"*  使用【烟花繁霁匣】道具，可在烟花[粉黛摇花影]与[清晖照松萝]中任选其一。","商城"
"*【彤福袋】使用规则：","商城"
"元宵活动期间，购买“元宵礼包”【礼包·繁焰灯宵】可以获得额外赠品【彤福袋】*1。","商城"
"和任意玩家组队，使用彤福袋，红包主人和队友可各自领取一份随机金额的绑定通宝奖励，更有机会获得稀有大奖。","商城"
"注：每个彤福袋最多可领取五份奖励，彤福袋将在活动结束两周后过期。","商城"
">>坐骑【妙乐迦天】【无量香音】【怒日非天】享限时折扣","商城"
">>【妙乐迦天】","商城"
"取九霄云气与天极霓光所制宝物，广带舒卷间，流转的彩云之气，便似携着无数天花与金莲，纷纷而至。","商城"
">>【无量香音】","商城"
"世间那万千歌舞妙音，合缀而成的宝物，携之腾天时，似乎还能闻见梦里才会出现的美妙异香。","商城"
">>【怒日非天】","商城"
"将汹涌日光敛聚作绸，再配上修仙之人败退妖邪时的如火忿怒，锻造而成这般似有动地之威的飞行法器。","商城"
"限时折扣时间：2025年2月6日6时~2月13日6时","商城"
">>【赏灯解谜】活动开启","PVX"
"上元时节，十里游人接踵，万盏华灯竞辉，真是好不热闹！为庆此佳节，博物学会精心准备了若干谜题附于花灯之上，不知仙家弟子们可以解出几道呢？","PVX"
"维护期间给您带来的不便，敬请谅解。","格式"
"2025年2月5日","格式"
"《古剑奇谭网络版》将于2025年1月30日5:30进行例行停机维护。","格式"
">>可开启【年年有余】礼盒！","PVX"
"2025年1月29日","格式"
"各位仙家弟子：《古剑奇谭网络版》将于2025年1月23日05:30进行例行停机维护。“共华年”大区全服预计10:00开启。在维护期间，您将无法登录游戏。如果在预定时间内无法完成维护内容，开服时间也将继续顺延。","格式"
"商城春节活动开启，共庆新禧！","商城"
">>异色发返场","商城"
"发型【天衣·财如晓日】","商城"
"发型【桃源芳梦】","商城"
"异色发型【天衣·财如晓日】、【桃源芳梦】限时返场通宝商城。","商城"
"活动时间：2025年1月23日6时~2月6日6时","商城"
">>龙坐骑返场","商城"
"坐骑【千秋星蜃】","商城"
"坐骑【光阴倏影】【亘古雷音】","商城"
"坐骑【千秋星蜃】【光阴倏影】【亘古雷音】限时返场通宝商城。","商城"
">>岁首红包返场","商城"
"召唤财神爷为亲友送财运红包雨","商城"
"【岁首红包·月月发】限时返场通宝商城。","商城"
">>烟花全线折扣","商城"
"通宝商城在售烟花全线享折扣！","商城"
"活动时间：2025年1月23日6时~2月6日6时","商城"
"春节系列活动开启","PVX"
">>新春送喜","PVX"
"时逢佳节，万象更新，不妨趁此机会探亲访友，为他们献上最真挚的祝福！据茶小乖透露：好多人早就准备好了新年红包，小哥哥 、小姐姐们此时登门拜年，必有好礼相赠！","PVX"
">>冰雪盛会","PVX"
"地图【皑皑幻谷】活动期间内限时开放.","PVX"
"趋近年关，秦陵之盟正在准备冰雪节，无独有偶，龙星领域的小龙人们也正在紧锣密鼓地准备欢度即将到来的新年，正在大家忙得热火朝天的时候，一股神秘的力量扭曲了时空，把双方卷入了一处未知之境……","PVX"
">>天降宝箱","PVX"
"辞旧迎新之际，龙星商会的小龙人们也开始了一年一度的库存清点，然而就在一箱箱宝物被运往新仓库的过程中，其中一些竟不翼而飞了……这些宝箱不知去了哪里，但根据小龙人得到的最新情报，每隔一段时间，都会有一批宝箱落在世界某处，待人拾取。","通用调整"
">>宝兆丰年","PVX"
"春节临近，嗅宝罗盘似乎也蠢蠢欲动起来，莫非在这片熟悉的大地上，又出现了什么不得了的宝贝？赶紧去龙星阵上解封藏宝图，发掘隐藏在其中的浓浓“年味”吧。","PVX"
"2025年1月22日","格式"
"各位仙家弟子：《古剑奇谭网络版》将于2025年1月16日05:30进行例行停机维护。“共华年”大区全服预计10:00开启。在维护期间，您将无法登录游戏。如果在预定时间内无法完成维护内容，开服时间也将继续顺延。","格式"
"2025年1月15日","格式"
"各位仙家弟子：《古剑奇谭网络版》将于2025年1月9日05:30进行例行停机维护。“共华年”大区全服预计10:00开启。在维护期间，您将无法登录游戏。如果在预定时间内无法完成维护内容，开服时间也将继续顺延。","格式"
"2025年1月8日","格式"
"各位仙家弟子：《古剑奇谭网络版》将于2025年1月2日05:30进行例行停机维护。“共华年”大区全服预计10:00开启。在维护期间，您将无法登录游戏。如果在预定时间内无法完成维护内容，开服时间也将继续顺延。","格式"
"2025年1月1日","格式"
"各位仙家弟子：《古剑奇谭网络版》将于2024年12月26日05:30进行例行停机维护。“共华年”大区全服预计10:00开启。在维护期间，您将无法登录游戏。如果在预定时间内无法完成维护内容，开服时间也将继续顺延。","格式"
"本次例行维护，更新内容如下：","格式"
">>同贺元旦，【心意红包·月月发】限时返场","商城"
"【心意红包·月月发】限时返场通宝商城，快召唤小财神为亲友送上满满心意吧！（注意：只有自己和队友可以领取红包哦！）","商城"
"返场时间：2024年12月26日6时~2025年1月9日6时。","商城"
"☆通用更新","通用调整"
"冬至活动商店修复异常，正常上架全新奖励-【表情动作·微醺】。","通用调整"
"2024年12月25日","格式"
"《古剑奇谭网络版》将于7月19日上午6:00-8:00进行全服更新维护，维护时间预计2个小时。在维护期间，您将无法登录服务器。如果在预定时间内无法完成维护内容，开服时间也将继续顺延。","格式"
"本次更新内容如下：","格式"
"【职业调整】","职业调整"
"### 职业通用：* 增加了玩家技能在垂直方向上的判定范围；* 现在可以在地面疾奔过程中施展闪避技能了；* 现在玩家技能减伤最高可生效80%；","职业调整"
"### 天罡：* 修复【震虎诀】错误地只增加了5秒调息时间的问题；","职业调整"
"### 斩风：* 修复斩风使用残卷【腾云】时，匹配进入秘境不能蓄力的问题；* 狼形态下可以二段跳了* 修改斩风变狼进行跨场景导航会失败的问题；* 修复【白虹化影】创造出的幻影为主体分担伤害的实际比例为技能描述值2倍的问题，同时将每个幻影的分担比例从6%上调为8%；","职业调整"
"### 御剑：* 【梅峰斜影】2级可习得等级由开光15层调整为初窥32层，并增加效果：可在成功闪避伤害时回复少量生命；* 【雪静无尘】2级可习得等级由开光11层调整为开光10层；* 【天剑降魔】的击倒效果调整为对目标及其附近2米内的敌人生效；* 【蹑云合】最终调息时间降低2分钟；","职业调整"
"### 妙法：* 提高了妙法洞渊书【佩兰】、【阳春】、【玉楼春晓】的治疗量；* 修复玄九玉府狐大憨错误地掉落了【驭雷】残卷的问题，更新完成后，将对此前通过击杀狐大憨获取【驭雷】残卷的玩家邮件补偿【奔雷】残卷；* 修复【昭华雷音】在【琴歌自悠游】状态下施放后有几率无法获得徵音/羽音的问题；* 修复星蕴特技【三叠】对由星蕴效果【外屏】触发的护盾无效的问题；* 修复妙法洞渊书专精下念属性未转化为法术攻击等级的问题；","职业调整"
"### 司命：* 修复部分持续治疗效果未受到自身急速属性加成的问题；* 修复【浮雨露】对已有【昭岚】目标增加持续时间错误的问题，同时调整为对同一个【昭岚】效果只会生效一次；* 调整【盈光】的施放优先级高于【皓天】；* 【娲皇赐福】的调息时间从75秒下调为45秒，其中【落霞】的效果调整为重置2个调息中的女娲符文；* 【焰飞云青】的调息时间从75秒下调为50秒，伤害相应调整；* 星蕴特技【流光动天阙】调整为被动效果，并不再消耗灵力，【绛霄】对【流光动天阙】的效果调整为提升5%伤害；* 修复残卷【长庚】的描述错误；","职业调整"
"### 咒隐：* 修复【幽灯】描述的伤害值会比实际【霜华轮灭】打出的伤害值少1点的问题；* 修复【月行藏】禁止使用的debuff死亡后会清除的问题；* 调整【宸月断】在技能范围内如果没有目标，则无法施放；* 调整【爱莫离】被动效果为对其他咒隐的【移伤咒】目标生效；","职业调整"
"【玩法调整】","通用调整"
"### 秘境：* 玄九玉府：修复狐玉藻、侍道不会同时离开战斗的问题；* 玄九玉府：修复狐玉藻偶尔会追击玩家的问题；* 玄九玉府：修复非蚩的【怒水连追】技能总是选择同一目标的问题；* 玄九玉府：修复非蚩的【怒水爆发】造成的伤害会被分担的问题；* 乌诏夜摩城：修复伊思闻【仇视】技能里怪物锁定目标显示偶尔不正确的问题；* 江流堙墟：修复腐化荒人冲锋时会使目标增加威胁值超过当前第一仇恨目标的问题；* 江流堙墟：修复堙墟狻猊的充能扫射伤害和视觉效果不符的问题；* 现在短时间内多次重置秘境将使秘境内击杀经验收益下降；","通用调整"
"* 秘境进度提示进行了更详细清晰的说明，避免造成误解；* 现在团队秘境首领是否出现取决于团队队长的进度，队长已经击败过的首领将不会创建；* 现在有秘境进度的仙家弟子和已有进度的非首领敌人战斗时，不再会导致敌人脱离战斗了；* 现在仙家弟子们无法参与自己已经击败过的首领的战斗，但仍然可以参与同一秘境中其他首领的战斗，例如：已击败了玄九玉府中的狐玉藻、狐大憨，则在进度重置前无法再与狐玉藻、狐大憨战斗，但仍能与玄九玉府中其他首领进行战斗；","通用调整"
"### 灵关突破：* 修复了关闭客户端重新启动后，偶尔出现灵关突破已完成的记忆片段界面信息丢失的问题；* 现在完成灵关解锁任务，会同时解锁该境界的第一个等级；","通用调整"
"### 青灯引渡：* 调整阎浮灯引导任务开启等级，从初窥32层下调到初窥30层；* 青灯引渡所有的非团队首领调整为小队首领；* 青灯引渡单人首领调整为小队首领强度；* 调整击败青灯引渡首领的奖励；* 青灯引渡碧油唧可显示TIPS；* 青灯引渡中，等级高于阎浮灯等级的首领也将显示地图标识；","通用调整"
"### 赤羽金令：* 修复赤羽金令升级任务中道具【子母金粉】描述有误的问题；","通用调整"
"### 列传：* 列传【终南自古多神仙】中长虞的技能增加了具体技能效果说明；* 列传【终南自古多神仙】中怪物数值强度降低；* 修复列传【泉有灵兽】任务没有配音的问题；* 调整列传【穿云散雾】获得藏品【告长安分坛教众书】的时机，修复再次做该列传时因此卡住任务线的问题；","通用调整"
"### 博异抄：* 博异抄日常委托【图录志更新】将不再要求更新宫啸的画像；","通用调整"
"### 劲锋疾雨：* 修复太和宫玩家在劲锋疾雨活动中死亡可能无法获得积分的问题；* 调整委托【劲锋疾雨·太和宫】与【劲锋疾雨·风皇祠】为互斥任务，玩家不再能够同一天接到两个委托了；* 调整劲锋疾雨中玉如笙以及太和宫高级弟子的生命值，更加适配玩家的当前装等；* 劲锋疾雨、十洲剑试现在可以投票请离队友了；","通用调整"
"### 四海生金：* 鱼竿调整为可出售、可丢弃；* 修复四海生金赏排行榜记录没有每周清零的问题；","通用调整"
"### 真实之境：* 真实之境结算界面新增奖励显示；","通用调整"
"### 浴日光阵：* 修复在陷阱房重伤被队友救助后无法离开房间的问题；* 优化对抗阶段提示对抗人名的排版；* 调整准备时间的表述，从0.5分钟改为30秒；","通用调整"
"【通用调整】","通用调整"
